id	prop	weight	""	""	""	""	""	""	""	""	""	""	""	""	
池子	道具id	概率	""	""	""	""	""	""	""	""	""	""	""	""	
integer	integer	integer	""	""	""	""	""	""	""	""	""	""	""	""	
key	key	""	""	""	""	""	""	""	""	""	""	""	""	""	
1001	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	12001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	13001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	14001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	15001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	17101	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	19001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	20001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1001	21001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	12001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	13001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	14001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	15001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	17101	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	19001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	20001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1002	21001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	12001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	13001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	14001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	15001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	17101	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	19001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	20001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1003	21001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	12001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	13001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	14001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	15001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	17101	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	19001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	20001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1004	21001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	12001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	13001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	14001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	15001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	17101	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	19001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	20001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1005	21001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	12001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	13001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	14001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	15001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	17101	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	19001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	20001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1006	21001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	12001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	13001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	14001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	15001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	17101	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	19001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	20001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1007	21001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	12001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	13001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	14001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	15001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	17101	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	19001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	20001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1008	21001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1009	30001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1009	18001	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1009	18002	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1009	18003	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1009	18004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1009	11004	1000	""	""	""	""	""	""	""	""	""	""	""	""	
1009	11005	1000	""	""	""	""	""	""	""	""	""	""	""	""	
