id	map_id	data_id	
关卡ID	地图id	数据id	
integer	integer	integer	
key	""	""	
1	101	1	
2	102	1	
3	103	1	
4	104	1	
5	105	1	
6	106	1	
7	107	1	
8	108	1	
9	109	1	
10	110	1	
11	111	1	
12	112	1	
13	101	2	
14	102	2	
15	103	2	
16	104	2	
17	105	2	
18	106	2	
19	107	2	
20	108	2	
21	109	2	
22	110	2	
23	111	2	
24	112	2	
25	101	3	
26	102	3	
27	103	3	
28	104	3	
29	105	3	
30	106	3	
31	107	3	
32	108	3	
33	109	3	
34	110	3	
35	111	3	
36	112	3	
37	101	4	
38	102	4	
39	103	4	
40	104	4	
41	105	4	
42	106	4	
43	107	4	
44	108	4	
45	109	4	
46	110	4	
47	111	4	
48	112	4	
