map_id	cell_id	row	col	plant_id	land_img_id	land_y_offset	plant_x_offset	plant_y_offset	water_img_id	sea_area	
玩法地图id	格子ID	行	列	植物ID	地表贴图ID	地表Y偏移	树x坐标	树y坐标	水倒影id 	海域背景	
integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	integer	
key	key	""	""	""	""	""	""	""	""	""	
2	2	7	6	102	2	31	0	72	0	0	
2	3	7	6	0	5	29	0	76	0	0	
2	4	7	6	0	4	29	0	76	0	0	
2	6	7	6	0	3	29	0	76	0	0	
2	7	7	6	0	3	28	0	76	0	0	
2	8	7	6	0	3	28	0	76	0	0	
2	9	7	6	0	1	32	0	76	0	0	
2	10	7	6	0	3	31	0	76	0	0	
2	11	7	6	0	4	29	0	76	0	0	
2	12	7	6	0	2	29	0	76	0	0	
2	13	7	6	0	3	28	0	76	0	0	
2	14	7	6	0	4	28	0	76	0	0	
2	15	7	6	0	4	29	0	76	0	0	
2	16	7	6	0	5	30	0	76	0	0	
2	17	7	6	0	2	28	0	76	0	0	
2	19	7	6	0	6	25	0	76	0	0	
2	20	7	6	0	1	24	0	76	0	0	
2	21	7	6	0	6	23	0	76	0	0	
2	22	7	6	104	1	24	7	71	0	0	
2	25	7	6	0	6	23	0	76	0	0	
2	26	7	6	0	3	15	0	76	0	0	
2	27	7	6	0	5	14	0	76	0	0	
2	28	7	6	0	22	13	0	76	0	0	
2	31	7	6	0	2	11	0	76	0	0	
2	32	7	6	0	2	9	0	76	0	0	
2	33	7	6	0	3	9	0	76	0	0	
2	34	7	6	0	23	11	0	76	0	0	
2	37	7	6	0	10	1	0	76	0	0	
2	38	7	6	0	3	9	0	76	0	0	
2	39	7	6	0	4	9	0	76	0	0	
3	2	11	6	102	6	41	0	76	0	0	
3	3	11	6	0	6	42	0	76	0	0	
3	4	11	6	0	5	42	0	76	0	0	
3	6	11	6	0	6	33	0	76	0	0	
3	7	11	6	0	6	35	0	76	0	0	
3	8	11	6	0	2	38	0	76	0	0	
3	9	11	6	0	3	39	0	76	0	0	
3	10	11	6	0	6	41	0	76	0	0	
3	11	11	6	0	3	46	0	76	0	0	
3	12	11	6	0	6	36	0	76	0	0	
3	13	11	6	0	1	34	0	76	0	0	
3	14	11	6	0	6	36	0	76	0	0	
3	15	11	6	0	3	37	0	76	0	0	
3	16	11	6	0	6	41	0	76	0	0	
3	17	11	6	0	5	40	0	76	0	0	
3	19	11	6	0	3	31	0	76	0	0	
3	20	11	6	0	4	31	0	76	0	0	
3	21	11	6	0	2	37	0	76	0	0	
3	22	11	6	101	3	40	0	72	0	0	
3	25	11	6	0	3	29	0	76	0	0	
3	26	11	6	0	3	32	0	76	0	0	
3	27	11	6	0	4	39	0	76	0	0	
3	28	11	6	0	22	37	0	76	0	0	
3	31	11	6	0	3	33	0	76	0	0	
3	32	11	6	0	3	36	0	76	0	0	
3	33	11	6	0	3	36	0	76	0	0	
3	34	11	6	0	23	33	0	76	0	0	
3	37	11	6	0	37	16	0	76	0	0	
3	38	11	6	0	3	35	0	76	0	0	
3	39	11	6	0	3	35	0	76	0	0	
3	43	11	6	0	2	26	0	76	0	0	
3	44	11	6	0	3	29	0	76	0	0	
3	45	11	6	0	3	27	0	76	0	0	
3	46	11	6	103	5	26	0	72	0	0	
3	49	11	6	103	1	26	5	66	0	0	
3	50	11	6	0	3	25	0	76	0	0	
3	51	11	6	0	2	22	0	76	0	0	
3	52	11	6	0	6	19	0	76	0	0	
3	53	11	6	0	6	18	0	76	0	0	
3	55	11	6	0	6	22	0	76	0	0	
3	56	11	6	0	17	23	0	76	0	0	
3	57	11	6	0	17	24	0	76	0	0	
3	58	11	6	0	6	15	0	76	0	0	
3	59	11	6	0	5	18	0	76	0	0	
3	61	11	6	0	9	-2	0	76	0	0	
3	62	11	6	0	15	13	0	76	0	0	
3	63	11	6	0	16	16	0	76	0	0	
4	4	11	8	102	2	9	0	76	0	0	
4	5	11	8	0	6	9	0	76	0	0	
4	6	11	8	0	3	9	0	76	0	0	
4	10	11	8	0	2	9	0	76	0	0	
4	11	11	8	0	6	9	0	76	0	0	
4	12	11	8	0	3	9	0	76	0	0	
4	13	11	8	0	3	9	0	76	0	0	
4	14	11	8	0	6	9	0	76	0	0	
4	15	11	8	0	2	9	0	76	0	0	
4	18	11	8	0	3	9	0	76	0	0	
4	19	11	8	0	6	9	0	76	0	0	
4	20	11	8	0	2	9	0	76	0	0	
4	21	11	8	0	3	9	0	76	0	0	
4	22	11	8	0	5	9	0	76	0	0	
4	23	11	8	0	2	9	0	76	0	0	
4	26	11	8	0	6	16	0	76	0	0	
4	27	11	8	0	4	9	0	76	0	0	
4	28	11	8	0	4	9	0	76	0	0	
4	29	11	8	0	6	9	0	76	0	0	
4	30	11	8	104	1	9	5	72	0	0	
4	34	11	8	0	6	21	0	76	0	0	
4	35	11	8	0	6	21	0	76	0	0	
4	36	11	8	103	6	9	-8	96	0	0	
4	37	11	8	0	3	9	0	76	0	0	
4	38	11	8	0	22	9	0	76	0	0	
4	42	11	8	0	1	18	0	76	0	0	
4	43	11	8	0	2	11	0	76	0	0	
4	44	11	8	0	3	9	0	76	0	0	
4	45	11	8	0	6	9	0	76	0	0	
4	46	11	8	0	23	9	0	76	0	0	
4	50	11	8	0	9	-1	0	76	0	0	
4	51	11	8	0	10	9	0	76	0	0	
4	52	11	8	0	6	9	0	76	0	0	
4	53	11	8	0	3	9	0	76	0	0	
4	56	11	8	0	9	-3	0	76	0	0	
4	57	11	8	0	9	-3	0	76	0	0	
4	58	11	8	0	9	-2	0	76	0	0	
4	59	11	8	0	9	-3	0	76	0	0	
4	60	11	8	0	6	9	0	76	0	0	
4	61	11	8	0	4	9	0	76	0	0	
4	62	11	8	104	5	9	11	70	0	0	
4	64	11	8	0	9	-3	0	76	0	0	
4	65	11	8	0	9	-2	0	76	0	0	
4	66	11	8	0	9	-2	0	76	0	0	
4	67	11	8	101	1	-1	9	73	0	0	
4	68	11	8	0	4	9	0	76	0	0	
4	69	11	8	0	6	9	0	76	0	0	
4	70	11	8	0	6	9	0	76	0	0	
4	71	11	8	0	4	9	0	76	0	0	
4	72	11	8	0	9	-3	0	76	0	0	
4	73	11	8	0	9	-3	0	76	0	0	
4	74	11	8	0	9	-3	0	76	0	0	
4	75	11	8	0	6	9	0	76	0	0	
4	76	11	8	0	17	9	0	76	0	0	
4	77	11	8	0	17	9	0	76	0	0	
4	78	11	8	0	5	9	0	76	0	0	
4	79	11	8	0	2	9	0	76	0	0	
4	83	11	8	0	15	5	-11	72	0	0	
4	84	11	8	0	17	9	0	76	0	0	
4	85	11	8	0	17	2	0	76	0	0	
5	4	11	15	102	2	32	7	58	0	0	
5	5	11	15	0	3	17	0	76	0	0	
5	6	11	15	137	6	26	2	47	0	0	
5	17	11	15	0	3	35	0	76	0	0	
5	18	11	15	0	1	30	0	76	0	0	
5	19	11	15	0	3	26	0	76	0	0	
5	20	11	15	0	5	22	0	76	0	0	
5	21	11	15	0	6	18	0	76	0	0	
5	22	11	15	0	2	19	0	76	0	0	
5	23	11	15	0	2	22	0	76	0	0	
5	24	11	15	0	4	5	0	76	0	0	
5	25	11	15	0	3	11	0	76	0	0	
5	26	11	15	0	1	3	0	76	0	0	
5	32	11	15	0	2	31	0	76	0	0	
5	33	11	15	0	3	26	0	76	0	0	
5	34	11	15	0	2	27	0	76	0	0	
5	35	11	15	0	3	12	0	76	0	0	
5	36	11	15	0	5	9	0	76	0	0	
5	37	11	15	0	2	14	0	76	0	0	
5	38	11	15	0	4	23	0	76	0	0	
5	39	11	15	0	6	9	0	76	0	0	
5	40	11	15	0	4	3	0	76	0	0	
5	41	11	15	0	4	0	0	76	0	0	
5	47	11	15	0	3	22	0	76	0	0	
5	48	11	15	0	2	9	0	76	0	0	
5	49	11	15	0	1	16	0	76	0	0	
5	50	11	15	0	2	16	0	76	0	0	
5	51	11	15	104	1	22	5	59	0	0	
5	54	11	15	140	1	9	5	55	0	0	
5	55	11	15	0	5	15	0	76	0	0	
5	56	11	15	0	6	10	0	76	0	0	
5	62	11	15	0	3	18	0	76	0	0	
5	63	11	15	138	3	20	0	72	0	0	
5	64	11	15	103	3	5	-6	88	0	0	
5	65	11	15	0	5	3	0	76	0	0	
5	66	11	15	0	22	2	0	76	0	0	
5	69	11	15	136	2	9	0	72	0	0	
5	70	11	15	139	2	9	7	54	0	0	
5	71	11	15	105	2	9	4	53	0	0	
5	77	11	15	0	41	17	0	76	0	0	
5	78	11	15	0	2	7	0	76	0	0	
5	79	11	15	0	1	12	0	76	0	0	
5	80	11	15	0	1	15	0	76	0	0	
5	81	11	15	0	23	1	0	76	0	0	
5	84	11	15	0	40	9	0	76	0	0	
5	85	11	15	137	2	9	2	50	0	0	
5	92	11	15	0	9	4	0	76	0	0	
5	93	11	15	114	37	-3	0	72	0	0	
5	94	11	15	0	3	9	0	76	0	0	
5	95	11	15	0	5	9	0	76	0	0	
5	99	11	15	136	6	9	0	72	0	0	
5	100	11	15	138	2	9	0	72	0	0	
5	105	11	15	113	9	-2	0	72	0	0	
5	106	11	15	0	9	-3	0	76	0	0	
5	107	11	15	0	9	-4	0	76	0	0	
5	108	11	15	0	9	-3	0	76	0	0	
5	109	11	15	136	3	9	0	72	0	0	
5	110	11	15	0	3	9	0	76	0	0	
5	111	11	15	104	5	9	6	64	0	0	
5	120	11	15	0	9	-1	0	76	0	0	
5	121	11	15	114	9	-1	0	72	0	0	
5	122	11	15	0	9	-1	0	76	0	0	
5	123	11	15	101	1	16	12	63	0	0	
5	124	11	15	0	3	9	0	76	0	0	
5	125	11	15	0	2	12	0	76	0	0	
5	126	11	15	0	3	3	0	76	0	0	
5	127	11	15	0	4	-3	0	76	0	0	
5	135	11	15	0	9	0	0	76	0	0	
5	136	11	15	0	9	-1	0	76	0	0	
5	137	11	15	0	9	-1	0	76	0	0	
5	138	11	15	0	3	9	0	76	0	0	
5	139	11	15	0	17	9	0	76	0	0	
5	140	11	15	0	17	4	0	76	0	0	
5	141	11	15	0	4	5	0	76	0	0	
5	142	11	15	0	2	0	0	76	0	0	
5	153	11	15	0	15	8	0	76	0	0	
5	154	11	15	0	17	6	0	76	0	0	
5	155	11	15	0	17	-4	0	76	0	0	
6	4	11	15	102	2	37	13	65	0	0	
6	5	11	15	0	3	23	0	76	0	0	
6	6	11	15	137	3	40	2	50	0	0	
6	10	11	15	0	2	38	0	76	0	0	
6	11	11	15	0	10	7	0	76	0	0	
6	12	11	15	114	9	4	0	72	0	0	
6	13	11	15	113	9	4	0	72	0	0	
6	17	11	15	0	3	27	0	76	0	0	
6	18	11	15	0	1	27	0	76	0	0	
6	19	11	15	0	3	27	0	76	0	0	
6	20	11	15	0	5	34	0	76	0	0	
6	21	11	15	0	6	32	0	76	0	0	
6	22	11	15	0	2	29	0	76	0	0	
6	23	11	15	0	2	30	0	76	0	0	
6	24	11	15	0	4	29	0	76	0	0	
6	25	11	15	0	6	31	0	76	0	0	
6	26	11	15	0	1	21	0	76	0	0	
6	27	11	15	0	4	15	0	76	0	0	
6	28	11	15	107	9	2	-16	74	0	0	
6	32	11	15	0	2	35	0	76	0	0	
6	33	11	15	0	6	31	0	76	0	0	
6	34	11	15	0	2	35	0	76	0	0	
6	35	11	15	0	3	19	0	76	0	0	
6	36	11	15	0	5	20	0	76	0	0	
6	37	11	15	0	2	20	0	76	0	0	
6	38	11	15	0	4	23	0	76	0	0	
6	39	11	15	0	3	15	0	76	0	0	
6	40	11	15	0	4	18	0	76	0	0	
6	41	11	15	0	4	16	0	76	0	0	
6	42	11	15	0	38	12	0	76	0	0	
6	43	11	15	0	2	11	0	76	0	0	
6	47	11	15	0	3	22	0	76	0	0	
6	48	11	15	0	2	13	0	76	0	0	
6	49	11	15	0	1	23	0	76	0	0	
6	50	11	15	0	2	22	0	76	0	0	
6	51	11	15	104	1	20	5	61	0	0	
6	54	11	15	140	1	13	7	48	0	0	
6	55	11	15	0	5	11	0	76	0	0	
6	56	11	15	0	3	9	0	76	0	0	
6	57	11	15	0	3	13	0	76	0	0	
6	58	11	15	0	6	10	0	76	0	0	
6	62	11	15	0	3	21	0	76	0	0	
6	63	11	15	138	3	20	0	72	0	0	
6	64	11	15	103	3	14	-9	95	0	0	
6	65	11	15	0	5	15	0	76	0	0	
6	66	11	15	0	22	3	0	76	0	0	
6	69	11	15	136	41	9	0	72	0	0	
6	70	11	15	139	2	10	6	54	0	0	
6	71	11	15	105	2	3	0	72	0	0	
6	77	11	15	0	41	25	11	70	0	0	
6	78	11	15	0	2	8	0	76	0	0	
6	79	11	15	0	1	14	0	76	0	0	
