id	skill_lv	name	desc	is_show	sea_soul	icon	heroid	skill_range	skill_type	fly_type	is_fly_rotate	skill_pos	fire_time	prepare_skill_anim_time	skill_name	skill_anim_time	hit_time	skill_anim_loop	hit_name	hit_range	hp_add	damage_ratio	defense_ratio	effect_array	skill_effect_id	trigger_ratio	value	duration	skill_effect_id	trigger_ratio	value	duration	""	""	""	""	
技能id	技能等级	技能名字	技能描述	是否可铸魂	升级所需海魂	技能图标	英雄模型ID	射程范围半径（像素）	"技能类型 1：直接释放技能 2：飞行技能 3:被动技能"	"飞行轨迹 0:直线 1：抛物线"	是否旋转飞行道具	"释放技能位置 0：敌方的身上 1：自己的身上 2:敌方所有英雄身上 3：已放所有英雄身上（不包括城墙）4:主城 5:敌人周围一圈的位置 6敌人周围两圈的位置"	放技能命中时时间（秒）	准备技能的动画时间	技能预设名	技能动画时间（秒）	放技能命中时时间（秒）	技能动画是否循环	被击名字,全部是spine动画	击中范围半径（像素）	血量增加值	技能基础伤害（万分比）	技能基础防御（万分比）	技能效果数组	技能效果id1	触发效果概率（万分比）	效果值（万分比）	持续时间（秒）	技能效果id2	触发效果概率（万分比）	效果值（万分比）	持续时间（秒）	""	""	""	""	
integer	integer	string	string	integer	integer	integer	integer	integer	integer	integer	integer	integer	float	float	string	float	float	integer	string	integer	integer	float	float	array	integer	float	float	float	integer	float	float	float	""	""	""	""	
key	key	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
70001	0	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay, nhảy lên và lao thẳng đứng để làm nứt mặt đất, gây sát thương nặng."	1	25	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	0	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	1	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 200% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	40	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	20000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	2	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 220% sát thương của đòn tấn công mạnh (nâng cấp +20% sát thương)."	1	60	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	22000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	3	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 230% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	85	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	23000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	4	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 240% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	100	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	24000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	5	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 250% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	105	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	25000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	6	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 260% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	110	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	26000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	7	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 270% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	115	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	27000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	8	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 280% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	120	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	28000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	9	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 290% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	125	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	29000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70001	10	"Đinh Ba Hải Thần"	"Giữ cây lao bằng cả hai tay và nhảy lên đâm theo chiều dọc, gây 300% sát thương của đòn tấn công mạnh (nâng cấp +10% sát thương)."	1	0	70001	31001	0	1	0	0	0	6000	10000	""	0	0	0	hit_1	0	""	30000	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70002	0	"Đá Bay Thép"	"Liên tục bắn đá những viên đá thép, gây nhiều sát thương cho kẻ địch."	1	25	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	0	0	0|4|2	0	0	0	0	0	0	0	0	""	""	""	""	
70002	1	"Đá Bay Thép"	"Phóng ra 3 lần liên tiếp viên đá bay bằng thép, gây 200% sát thương (Nâng cấp +10% sát thương)."	1	40	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	20000	0	0|4|3	0	0	0	0	0	0	0	0	""	""	""	""	
70002	2	"Đá Bay Thép"	"Phóng ra 3 lần liên tiếp viên đá bay bằng thép, gây 220% sát thương (Nâng cấp +20% sát thương)."	1	60	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	22000	0	0|4|3	0	0	0	0	0	0	0	0	""	""	""	""	
70002	3	"Đá Bay Thép"	"Phóng ra 3 lần liên tiếp viên đá bay bằng thép, gây 230% sát thương (Nâng cấp +10% sát thương)."	1	85	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	23000	0	0|4|3	0	0	0	0	0	0	0	0	""	""	""	""	
70002	4	"Đá Bay Thép"	"Phóng ra 3 lần liên tiếp viên đá bay bằng thép, gây 240% sát thương (Nâng cấp +10% sát thương)."	1	100	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	24000	0	0|4|3	0	0	0	0	0	0	0	0	""	""	""	""	
70002	5	"Đá Bay Thép"	"Phóng ra 3 lần liên tiếp viên đá bay bằng thép, gây 250% sát thương (Nâng cấp +10% sát thương)."	1	105	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	25000	0	0|4|3	0	0	0	0	0	0	0	0	""	""	""	""	
70002	6	"Đá Bay Thép"	"Phóng ra 3 lần liên tiếp viên đá bay bằng thép, gây 260% sát thương (Nâng cấp +10% sát thương)."	1	110	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	26000	0	0|4|3	0	0	0	0	0	0	0	0	""	""	""	""	
70002	7	"Đá Bay Thép"	"Phóng ra 3 lần liên tiếp viên đá bay bằng thép, gây 270% sát thương (Nâng cấp +10% sát thương)."	1	115	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	27000	0	0|4|3	0	0	0	0	0	0	0	0	""	""	""	""	
70002	8	"Đá Bay Thép"	"Phóng ra 3 lần liên tiếp viên đá bay bằng thép, gây 280% sát thương (Nâng cấp +10% sát thương)."	1	120	70002	32001	0	2	1	1	0	3000	8000	fly_5	10000	10000	1	hit_5	70	""	28000	0	0|4|3	0	0	0	0	0	0	0	0	""	""	""	""	
